2022-01-08 17:42:52,903 | INFO | extract.py | <module> | Start of program.
2022-01-08 17:43:09,294 | INFO | load.py | update_db | Database <sqlite3.Connection object at 0x710394e8> connected
2022-01-08 17:43:09,329 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,330 | INFO | load.py | update_db | But item 0 exists already in the database
2022-01-08 17:43:09,334 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,335 | INFO | load.py | update_db | But item 1 exists already in the database
2022-01-08 17:43:09,339 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,340 | INFO | load.py | update_db | But item 2 exists already in the database
2022-01-08 17:43:09,344 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,345 | INFO | load.py | update_db | But item 3 exists already in the database
2022-01-08 17:43:09,349 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,350 | INFO | load.py | update_db | But item 4 exists already in the database
2022-01-08 17:43:09,354 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,355 | INFO | load.py | update_db | But item 5 exists already in the database
2022-01-08 17:43:09,359 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,360 | INFO | load.py | update_db | But item 6 exists already in the database
2022-01-08 17:43:09,364 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,364 | INFO | load.py | update_db | But item 7 exists already in the database
2022-01-08 17:43:09,368 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,369 | INFO | load.py | update_db | But item 8 exists already in the database
2022-01-08 17:43:09,373 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,374 | INFO | load.py | update_db | But item 9 exists already in the database
2022-01-08 17:43:09,378 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,379 | INFO | load.py | update_db | But item 10 exists already in the database
2022-01-08 17:43:09,383 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,384 | INFO | load.py | update_db | But item 11 exists already in the database
2022-01-08 17:43:09,388 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,389 | INFO | load.py | update_db | But item 12 exists already in the database
2022-01-08 17:43:09,393 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,394 | INFO | load.py | update_db | But item 13 exists already in the database
2022-01-08 17:43:09,397 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,398 | INFO | load.py | update_db | But item 14 exists already in the database
2022-01-08 17:43:09,402 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,403 | INFO | load.py | update_db | But item 15 exists already in the database
2022-01-08 17:43:09,407 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,408 | INFO | load.py | update_db | But item 16 exists already in the database
2022-01-08 17:43:09,412 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,413 | INFO | load.py | update_db | But item 17 exists already in the database
2022-01-08 17:43:09,417 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,418 | INFO | load.py | update_db | But item 18 exists already in the database
2022-01-08 17:43:09,422 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,423 | INFO | load.py | update_db | But item 19 exists already in the database
2022-01-08 17:43:09,427 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,427 | INFO | load.py | update_db | But item 20 exists already in the database
2022-01-08 17:43:09,431 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,432 | INFO | load.py | update_db | But item 21 exists already in the database
2022-01-08 17:43:09,436 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,437 | INFO | load.py | update_db | But item 22 exists already in the database
2022-01-08 17:43:09,441 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,442 | INFO | load.py | update_db | But item 23 exists already in the database
2022-01-08 17:43:09,446 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,447 | INFO | load.py | update_db | But item 24 exists already in the database
2022-01-08 17:43:09,451 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,452 | INFO | load.py | update_db | But item 25 exists already in the database
2022-01-08 17:43:09,456 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,456 | INFO | load.py | update_db | But item 26 exists already in the database
2022-01-08 17:43:09,460 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,461 | INFO | load.py | update_db | But item 27 exists already in the database
2022-01-08 17:43:09,465 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,466 | INFO | load.py | update_db | But item 28 exists already in the database
2022-01-08 17:43:09,470 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,471 | INFO | load.py | update_db | But item 29 exists already in the database
2022-01-08 17:43:09,475 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,476 | INFO | load.py | update_db | But item 30 exists already in the database
2022-01-08 17:43:09,480 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,480 | INFO | load.py | update_db | But item 31 exists already in the database
2022-01-08 17:43:09,484 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,485 | INFO | load.py | update_db | But item 32 exists already in the database
2022-01-08 17:43:09,489 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,490 | INFO | load.py | update_db | But item 33 exists already in the database
2022-01-08 17:43:09,494 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,495 | INFO | load.py | update_db | But item 34 exists already in the database
2022-01-08 17:43:09,499 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,500 | INFO | load.py | update_db | But item 35 exists already in the database
2022-01-08 17:43:09,504 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,505 | INFO | load.py | update_db | But item 36 exists already in the database
2022-01-08 17:43:09,508 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,509 | INFO | load.py | update_db | But item 37 exists already in the database
2022-01-08 17:43:09,513 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,514 | INFO | load.py | update_db | But item 38 exists already in the database
2022-01-08 17:43:09,518 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,519 | INFO | load.py | update_db | But item 39 exists already in the database
2022-01-08 17:43:09,523 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,524 | INFO | load.py | update_db | But item 40 exists already in the database
2022-01-08 17:43:09,528 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,529 | INFO | load.py | update_db | But item 41 exists already in the database
2022-01-08 17:43:09,533 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,533 | INFO | load.py | update_db | But item 42 exists already in the database
2022-01-08 17:43:09,537 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,538 | INFO | load.py | update_db | But item 43 exists already in the database
2022-01-08 17:43:09,542 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,543 | INFO | load.py | update_db | But item 44 exists already in the database
2022-01-08 17:43:09,547 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,548 | INFO | load.py | update_db | But item 45 exists already in the database
2022-01-08 17:43:09,552 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,553 | INFO | load.py | update_db | But item 46 exists already in the database
