2022-01-27 08:38:52,429 | INFO | load.py | create_db | Creating and setting up a new database named 'watched'
2022-01-27 08:38:52,429 | INFO | load.py | create_db | Database connected
2022-01-27 08:38:52,433 | DEBUG | load.py | create_db | CREATE TABLE query successful
2022-01-27 08:38:52,433 | DEBUG | load.py | create_db | Success
2022-01-27 08:38:52,435 | INFO | load.py | create_db | Creating and setting up a new database named 'watched'
2022-01-27 08:38:52,435 | INFO | load.py | create_db | Database connected
2022-01-27 08:38:52,437 | DEBUG | load.py | create_db | CREATE TABLE query successful
2022-01-27 08:38:52,437 | DEBUG | load.py | create_db | Success
2022-01-27 08:38:52,437 | INFO | transform.py | transform_youtube_data | Transforming YouTube data now
2022-01-27 08:38:52,475 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:38:52,478 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:38:52,492 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:38:52,502 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:38:52,507 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:38:52,983 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:38:52,984 | DEBUG | youtube_api.py | get_missing_data | Name: Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song), Categories: Music
2022-01-27 08:38:53,085 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:38:53,085 | DEBUG | youtube_api.py | get_missing_data | Name: PAW Patrol The Movie: A Day in Adventure City  Help Marshall and Pups get ready for the day!, Categories: Gaming
2022-01-27 08:38:53,103 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:38:53,104 | DEBUG | youtube_api.py | get_missing_data | Name: Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video), Categories: Music
2022-01-27 08:38:53,110 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:38:53,110 | DEBUG | youtube_api.py | get_missing_data | Name: Coldplay - Adventure Of A Lifetime (Official Video), Categories: Music
2022-01-27 08:38:53,114 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:38:53,114 | DEBUG | youtube_api.py | get_missing_data | Name: Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars, Categories: Music
2022-01-27 08:38:53,115 | INFO | transform.py | transform_netflix_data | Transforming Netflix data now
2022-01-27 08:38:53,181 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:38:53,181 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:38:53,181 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:38:53,181 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:38:53,183 | DEBUG | imdb_api.py | get_genre | Searching name: Don't Look Up
2022-01-27 08:38:53,182 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:38:53,182 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:38:53,187 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:38:53,182 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:38:53,188 | DEBUG | imdb_api.py | get_genre | Searching name: Death to 2021
2022-01-27 08:39:01,872 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:01,872 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:02,049 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:02,050 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:02,173 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:02,173 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:02,770 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:02,770 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:02,931 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:02,931 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:23,996 | DEBUG | imdb_api.py | get_genre | Title found: Death to 2021
2022-01-27 08:39:24,178 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:27,631 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:27,972 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:30,177 | DEBUG | imdb_api.py | get_genre | Title found: Don't Look Up
2022-01-27 08:39:30,180 | INFO | transform.py | transform_youtube_data | Transforming YouTube data now
2022-01-27 08:39:30,187 | INFO | load.py | load_data | No database found at '/home/farhan/workspace/etl_project/src/etl/data/database.db'
2022-01-27 08:39:30,188 | INFO | load.py | load_data | Setting up a new database at '/home/farhan/workspace/etl_project/src/etl/data/database.db'
2022-01-27 08:39:30,188 | INFO | load.py | create_db | Creating and setting up a new database named 'watched'
2022-01-27 08:39:30,188 | INFO | load.py | create_db | Database connected
2022-01-27 08:39:30,193 | DEBUG | load.py | create_db | CREATE TABLE query successful
2022-01-27 08:39:30,193 | DEBUG | load.py | create_db | Success
2022-01-27 08:39:30,196 | INFO | load.py | load_data | 5 item(s) to add in the database
2022-01-27 08:39:30,197 | INFO | load.py | load_data | Starting context manager for multi-threading
2022-01-27 08:39:30,203 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:39:30,213 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:39:30,216 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:39:30,267 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:39:30,272 | DEBUG | youtube_api.py | get_missing_data | Preparing YouTube API call
2022-01-27 08:39:32,191 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:39:32,191 | DEBUG | youtube_api.py | get_missing_data | Name: Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video), Categories: Music
2022-01-27 08:39:32,251 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:39:32,252 | DEBUG | youtube_api.py | get_missing_data | Name: Coldplay - Paradise (Official Video), Categories: Music
2022-01-27 08:39:32,281 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:39:32,282 | DEBUG | youtube_api.py | get_missing_data | Name: The Weeknd - Blinding Lights (Official Audio), Categories: Music
2022-01-27 08:39:32,310 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:39:32,310 | DEBUG | youtube_api.py | get_missing_data | Name: PAW Patrol The Movie: A Day in Adventure City  Help Marshall and Pups get ready for the day!, Categories: Gaming
2022-01-27 08:39:32,332 | DEBUG | youtube_api.py | get_missing_data | YouTube API call successful
2022-01-27 08:39:32,332 | DEBUG | youtube_api.py | get_missing_data | Name: Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars, Categories: Music
2022-01-27 08:39:32,332 | INFO | load.py | load_data | Out of context manager now
2022-01-27 08:39:32,333 | INFO | load.py | load_data | Executing INSERT queries now
2022-01-27 08:39:32,333 | DEBUG | load.py | load_data | ('2021-10-25 14:11:54', 'YouTube', 'Video', 'Coldplay - Paradise (Official Video)', nan, nan, 'Music', 'https://www.youtube.com/watch?v=1G4isv_Fylg') added
2022-01-27 08:39:32,333 | DEBUG | load.py | load_data | ('2021-10-25 14:15:17', 'YouTube', 'Video', 'Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video)', nan, nan, 'Music', 'https://www.youtube.com/watch?v=cBVGlBWQzuc') added
2022-01-27 08:39:32,333 | DEBUG | load.py | load_data | ('2021-10-25 14:11:57', 'YouTube', 'Video', 'The Weeknd - Blinding Lights (Official Audio)', nan, nan, 'Music', 'https://www.youtube.com/watch?v=fHI8X4OXluQ') added
2022-01-27 08:39:32,333 | DEBUG | load.py | load_data | ('2021-10-25 14:16:14', 'YouTube', 'Video', 'Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars', nan, nan, 'Music', 'https://www.youtube.com/watch?v=OPf0YbXqDm0') added
2022-01-27 08:39:32,334 | DEBUG | load.py | load_data | ('2021-10-25 17:30:52', 'YouTube', 'Video', 'PAW Patrol The Movie: A Day in Adventure City  Help Marshall and Pups get ready for the day!', nan, nan, 'Gaming', 'https://www.youtube.com/watch?v=R0e6AvMqUe4') added
2022-01-27 08:39:32,334 | INFO | load.py | load_data | 5 items added in the database
2022-01-27 08:39:32,340 | INFO | transform.py | transform_netflix_data | Transforming Netflix data now
2022-01-27 08:39:32,352 | INFO | load.py | load_data | Database found at '/home/farhan/workspace/etl_project/src/etl/data/database.db'. Connecting..
2022-01-27 08:39:32,354 | INFO | load.py | load_data | 5 item(s) to add in the database
2022-01-27 08:39:32,355 | INFO | load.py | load_data | Starting context manager for multi-threading
